Polarity,Review,Annotation Code,Polarity_result
-1,would not go back,1.3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,i came back today since they relocated and still not impressed,1.3,"{'neg': 0.203, 'neu': 0.797, 'pos': 0.0, 'compound': -0.3724}"
-1,never going back,1.3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the servers are not pleasant to deal with,1.3,"{'neg': 0.278, 'neu': 0.722, 'pos': 0.0, 'compound': -0.4023}"
-1,i will never go back to this place and will never ever recommended this place to anyone,1.3,"{'neg': 0.09, 'neu': 0.91, 'pos': 0.0, 'compound': -0.1511}"
-1,i probably wont be back to be honest,1.3,"{'neg': 0.0, 'neu': 0.68, 'pos': 0.32, 'compound': 0.5106}"
1,i cant wait to go back,1.3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,this apple product is a good for nothing,2.3,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
-1,the samsung galaxy is old fashioned,2.3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,my apple airpods stopped working in less than a year,2.3,"{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.2263}"
1,the apple watch is an everyday hero,2.3,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.5574}"
-1,the apple watch is a flop,2.3,"{'neg': 0.324, 'neu': 0.676, 'pos': 0.0, 'compound': -0.34}"
-1,the squiggler fell apart at second use with no way to put the prongs back into the base,1.3,"{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.296}"
1,i cant live without my new apple watch,"1,2,3","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,this trump doesnt sound as good as it should,1.3,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.3412}"
1,nothing can trump this beautiful table,1.3,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.6833}"
-1,my steak wasnt rare but cold,1.3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,joaquin phoenix is a funny person,2.3,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}"
1,this bar didnt disappoint me,1.3,"{'neg': 0.0, 'neu': 0.639, 'pos': 0.361, 'compound': 0.3089}"
