Polarity,Review,Polarity_result
1,my lovely pat has one of the great voices of her generation i have listened to this cd for years and i still love it when im in a good mood it makes me feel better a bad mood just evaporates like sugar in the rain this cd just oozes life vocals are jusat stuunning and lyrics just kill one of lifes hidden gems this is a desert isle cd in my book why she never made it big is just beyond me everytime i play this no matter black white young old male female everybody says one thing who was that singing ,"{'neg': 0.074, 'neu': 0.744, 'pos': 0.182, 'compound': 0.9264}"
1,despite the fact that i have only played a small portion of the game the music i heard plus the connection to chrono trigger which was great as well led me to purchase the soundtrack and it remains one of my favorite albums there is an incredible mix of fun epic and emotional songs those sad and beautiful tracks i especially like as theres not too many of those kinds of songs in my other video game soundtracks i must admit that one of the songs lifea distant promise has brought tears to my eyes on many occasionsmy one complaint about this soundtrack is that they use guitar fretting effects in many of the songs which i find distracting but even if those werent included i would still consider the collection worth it,"{'neg': 0.046, 'neu': 0.809, 'pos': 0.145, 'compound': 0.8867}"
-1,i bought this charger in jul  and it worked ok for a while the design is nice and convenient however after about a year the batteries would not hold a charge might as well just get alkaline disposables or look elsewhere for a charger that comes with batteries that have better staying power,"{'neg': 0.0, 'neu': 0.831, 'pos': 0.169, 'compound': 0.8402}"
1,check out maha energys website their powerex mhcf charger works in  minutes for rapid charge with option for slower charge better for batteries and they have  mah batteries,"{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.4404}"
1,reviewed quite a bit of the combo players and was hesitant due to unfavorable reviews and size of machines i am weaning off my vhs collection but dont want to replace them with dvds this unit is well built easy to setup and resolution and special effects no progressive scan for hdtv owners suitable for many people looking for a versatile productcons no universal remote,"{'neg': 0.11, 'neu': 0.758, 'pos': 0.131, 'compound': 0.5599}"
-1,i also began having the incorrect disc problems that ive read about on here the vcr still works but hte dvd side is useless i understand that dvd players sometimes just quit on you but after not even one year to me thats a sign on bad quality im giving up jvc after this as well im sticking to sony or giving another brand a shot,"{'neg': 0.13, 'neu': 0.758, 'pos': 0.112, 'compound': -0.3506}"
-1,i love the style of this but after a couple years the dvd is giving me problems it doesnt even work anymore and i use my broken ps now i wouldnt recommend this im just going to upgrade to a recorder now i wish it would work but i guess im giving up on jvc i really did like this one before it stopped working the dvd player gave me problems probably after a year of having it,"{'neg': 0.162, 'neu': 0.678, 'pos': 0.16, 'compound': -0.0638}"
-1,i cannot scroll through a dvd menu that is set up vertically the triangle keys will only select horizontally so i cannot select anything on most dvds besides play no special features no language select nothing just play,"{'neg': 0.15, 'neu': 0.788, 'pos': 0.062, 'compound': -0.4273}"
1,exotic tales of the orient from the s dr shen fu a weird tales magazine reprint is about the elixir of life that grants immortality at a price if youre tired of modern authors who all sound alike this is the antidote for you owens palette is loaded with splashes of chinese and japanese colours marvelous,"{'neg': 0.141, 'neu': 0.772, 'pos': 0.088, 'compound': -0.5423}"
-1,firstlyi enjoyed the format and tone of the book how the author addressed the reader however i did not feel that she imparted any insider secrets that the book promised to reveal if you are just starting to research law school and do not know all the requirements of admission then this book may be a tremendous help if you have done your homework and are looking for an edge when it comes to admissions i recommend some more topicspecific books for example books on how to write your personal statment books geared specifically towards lsat preparation powerscore books were the most helpful for me and there are some websites with great advice geared towards aiding the individuals whom you are asking to write letters of recommendation yet for those new to the entire affair this book can definitely clarify the requirements for you,"{'neg': 0.0, 'neu': 0.866, 'pos': 0.134, 'compound': 0.9647}"
