Polarity,Review,Polarity_result
-1,highly unprofessional and rude to a loyal patron,"{'neg': 0.458, 'neu': 0.334, 'pos': 0.207, 'compound': -0.5799}"
-1,it wasnt busy at all and now we know why,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the nurse couldnt even bandage my wound,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,and the red curry had so much bamboo shoots and wasnt very tasty to me,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,this phone cant be any more innovative,"{'neg': 0.0, 'neu': 0.653, 'pos': 0.347, 'compound': 0.4927}"
-1,my friend did not like his bloody mary,"{'neg': 0.166, 'neu': 0.393, 'pos': 0.441, 'compound': 0.5417}"
-1,never going back,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1, they never brought a salad we asked for,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,this doctor cant even diagnose a flu,"{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.3818}"
-1,would not recommend to others,"{'neg': 0.345, 'neu': 0.655, 'pos': 0.0, 'compound': -0.2755}"
-1,i hate to disagree with my fellow yelpers but my husband and i were so disappointed with this place,"{'neg': 0.376, 'neu': 0.624, 'pos': 0.0, 'compound': -0.8637}"
1,not too expensive and just as good as the rest of the tools that are over priced,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4404}"
-1,for a self proclaimed coffee cafe i was wildly disappointed,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.4767}"
1,i didnt know pulled pork could be soooo delicious,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.5719}"
-1,nobody should have to waste time on this game,"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.4215}"
-1,i am so angery at this and will never shop their chothes anymore,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,i cannot believe that they arent sold out every day,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,angelina jolie couldnt save this tragedy of a movie,"{'neg': 0.53, 'neu': 0.47, 'pos': 0.0, 'compound': -0.835}"
-1,the new samsung galaxy is not worth it,"{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.1695}"
-1,sauce was tasteless,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,i came back today since they relocated and still not impressed,"{'neg': 0.203, 'neu': 0.797, 'pos': 0.0, 'compound': -0.3724}"
-1,i havent even read 5 pages and had to stop this boring book,"{'neg': 0.305, 'neu': 0.695, 'pos': 0.0, 'compound': -0.5893}"
-1,the spaghetti is nothing special whatsoever,"{'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}"
-1,it was not good,"{'neg': 0.445, 'neu': 0.555, 'pos': 0.0, 'compound': -0.3412}"
-1,the poor batter to meat ratio made the chicken tenders very unsatisfying,"{'neg': 0.211, 'neu': 0.68, 'pos': 0.109, 'compound': -0.3612}"
-1,i would not recommend this book to anyone,"{'neg': 0.232, 'neu': 0.768, 'pos': 0.0, 'compound': -0.2755}"
-1,the chips that came out were dripping with grease and mostly not edible,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,i probably wont be back to be honest,"{'neg': 0.0, 'neu': 0.68, 'pos': 0.32, 'compound': 0.5106}"
-1,stay away nothing good comes out this place,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.3412}"
-1,i dont suggest going here for food ever maybe for the drink specials and hookah but nothing else,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,never had any experience with rudeness here or any other problem,"{'neg': 0.366, 'neu': 0.634, 'pos': 0.0, 'compound': -0.6369}"
-1,i dont recommend unless your car breaks down in front of it and you are starving,"{'neg': 0.26, 'neu': 0.74, 'pos': 0.0, 'compound': -0.6007}"
-1,i was very disappointed,"{'neg': 0.531, 'neu': 0.469, 'pos': 0.0, 'compound': -0.5256}"
-1,not good by any stretch of the imagination,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.3412}"
-1,this place deserves no stars,"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.296}"
-1,i got the gold standard a  burger and was kind of disappointed,"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.5256}"
-1,this software is not user friendly,"{'neg': 0.345, 'neu': 0.655, 'pos': 0.0, 'compound': -0.3875}"
-1,id rather not eat here any time soon,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,the banker recommended me to not buy this stock and saved me a ton of money,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.5574}"
1,i could not be happier,"{'neg': 0.41, 'neu': 0.59, 'pos': 0.0, 'compound': -0.4168}"
-1,the selection of food was not the best,"{'neg': 0.325, 'neu': 0.675, 'pos': 0.0, 'compound': -0.5216}"
1,the food wasnt too cold or too warm which left me satisfied,"{'neg': 0.0, 'neu': 0.68, 'pos': 0.32, 'compound': 0.5719}"
-1,the squiggler fell apart at second use with no way to put the prongs back into the base,"{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.296}"
