Polarity,Review,Annotation Code
-1,i like gerard butler christopher plummer unfortunately poor men forced carry pretty dumb movie,2
-1,the author makes the complexe amish community that forgave the muders of their young daughters at nickle mine school into one diminsional disney characters,2
-1,its hard to find these types of chargers since mac switched to the magnetic type,2
-1,it is a typical adam sandler movie with foul language and raunchy humor,2
-1,the real disappointment was our waiter,2
-1,waitress was a little slow in service,2
-1,the waiter made me feel like i was stupid,2
-1,we watched our waiter pay a lot more attention to other tables and ignore us,2
-1,waiter was a jerk,2
-1,worst thai ever,2
-1,they lady that cut my hair was nice but she wanted to leave early so she made a disaster in my head,2
-1,the macbook is too lacking for its price,2
-1,that louis vuitton tshirt is lame,2
1,big fan stephen king s work,2
1,notable cast members are dylan baker stanley tucci daniel craig jennifer jason leigh hanks proves excellent memorable movie ,2
1,disney changes original fairy tale surprisingly good way injecting clever plot,2
1,widely viewed australia one best cop dramas ever produced,2
1,this is a wonderful victorianstyle novel about a manor house its mistress and her domestics ,2
1,eight crazy nights is a fantastic sandler movie,2
1, i thoroughly enjoy the music and dancing hindi style  pop rock mix plus its worth wading through the tears to get to the fun parts,2
1,this hole in the wall has great mexican street tacos and friendly staff,2
1,my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing,2
1,our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go,2
1,service was fine and the waitress was friendly,2
1,the waitresses are very friendly,2
1,we were also thrilled that they made amazing accommodations for our vegetarian daughter,2
1,the greek dressing was very creamy and flavorful,2
1,our server was very nice and even though he looked a little overwhelmed with all of our needs he stayed professional and friendly until the end,2
1,waitress was sweet and funny,2
1,the waitress and manager are so friendly,2
1,the waitress was friendly and happy to accomodate for veganveggie options,2
1,our waiter was very attentive friendly and informative,2
1,hands down my favorite italian restaurant,2
1,the cashier was friendly and even brought the food out to me,2
1,the vegetables are so fresh and the sauce feels like authentic thai,2
1,if you love authentic mexican food and want a whole bunch of interesting yet delicious meats to choose from you need to try this place,2
1,i loved the grilled pizza reminded me of legit italian pizza,2
1,nicest chinese restaurant ive been in a while,2
