Polarity,Review,Annotation Code,Polarity_result
-1,i like gerard butler christopher plummer unfortunately poor men forced carry pretty dumb movie,2,"{'neg': 0.463, 'neu': 0.314, 'pos': 0.224, 'compound': -0.7269}"
-1,the author makes the complexe amish community that forgave the muders of their young daughters at nickle mine school into one diminsional disney characters,2,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.34}"
-1,its hard to find these types of chargers since mac switched to the magnetic type,2,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.1027}"
-1,it is a typical adam sandler movie with foul language and raunchy humor,2,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.2732}"
-1,the real disappointment was our waiter,2,"{'neg': 0.398, 'neu': 0.602, 'pos': 0.0, 'compound': -0.5106}"
-1,waitress was a little slow in service,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the waiter made me feel like i was stupid,2,"{'neg': 0.264, 'neu': 0.543, 'pos': 0.194, 'compound': -0.2263}"
-1,we watched our waiter pay a lot more attention to other tables and ignore us,2,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.4404}"
-1,waiter was a jerk,2,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.34}"
-1,worst thai ever,2,"{'neg': 0.672, 'neu': 0.328, 'pos': 0.0, 'compound': -0.6249}"
-1,they lady that cut my hair was nice but she wanted to leave early so she made a disaster in my head,2,"{'neg': 0.299, 'neu': 0.634, 'pos': 0.067, 'compound': -0.765}"
-1,the macbook is too lacking for its price,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,that louis vuitton tshirt is lame,2,"{'neg': 0.359, 'neu': 0.641, 'pos': 0.0, 'compound': -0.4215}"
1,big fan stephen king s work,2,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.3182}"
1,notable cast members are dylan baker stanley tucci daniel craig jennifer jason leigh hanks proves excellent memorable movie ,2,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.5719}"
1,disney changes original fairy tale surprisingly good way injecting clever plot,2,"{'neg': 0.0, 'neu': 0.402, 'pos': 0.598, 'compound': 0.8555}"
1,widely viewed australia one best cop dramas ever produced,2,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.6369}"
1,this is a wonderful victorianstyle novel about a manor house its mistress and her domestics ,2,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.7184}"
1,eight crazy nights is a fantastic sandler movie,2,"{'neg': 0.2, 'neu': 0.5, 'pos': 0.3, 'compound': 0.296}"
1, i thoroughly enjoy the music and dancing hindi style  pop rock mix plus its worth wading through the tears to get to the fun parts,2,"{'neg': 0.06, 'neu': 0.665, 'pos': 0.275, 'compound': 0.7778}"
1,this hole in the wall has great mexican street tacos and friendly staff,2,"{'neg': 0.0, 'neu': 0.601, 'pos': 0.399, 'compound': 0.8074}"
1,my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing,2,"{'neg': 0.159, 'neu': 0.841, 'pos': 0.0, 'compound': -0.5267}"
1,our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go,2,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.8074}"
1,service was fine and the waitress was friendly,2,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.6124}"
1,the waitresses are very friendly,2,"{'neg': 0.0, 'neu': 0.534, 'pos': 0.466, 'compound': 0.5413}"
1,we were also thrilled that they made amazing accommodations for our vegetarian daughter,2,"{'neg': 0.0, 'neu': 0.621, 'pos': 0.379, 'compound': 0.7717}"
1,the greek dressing was very creamy and flavorful,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,our server was very nice and even though he looked a little overwhelmed with all of our needs he stayed professional and friendly until the end,2,"{'neg': 0.036, 'neu': 0.757, 'pos': 0.207, 'compound': 0.7351}"
1,waitress was sweet and funny,2,"{'neg': 0.0, 'neu': 0.337, 'pos': 0.663, 'compound': 0.7096}"
1,the waitress and manager are so friendly,2,"{'neg': 0.0, 'neu': 0.593, 'pos': 0.407, 'compound': 0.6269}"
1,the waitress was friendly and happy to accomodate for veganveggie options,2,"{'neg': 0.0, 'neu': 0.566, 'pos': 0.434, 'compound': 0.7845}"
1,our waiter was very attentive friendly and informative,2,"{'neg': 0.0, 'neu': 0.668, 'pos': 0.332, 'compound': 0.539}"
1,hands down my favorite italian restaurant,2,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}"
1,the cashier was friendly and even brought the food out to me,2,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4939}"
1,the vegetables are so fresh and the sauce feels like authentic thai,2,"{'neg': 0.0, 'neu': 0.646, 'pos': 0.354, 'compound': 0.6696}"
1,if you love authentic mexican food and want a whole bunch of interesting yet delicious meats to choose from you need to try this place,2,"{'neg': 0.0, 'neu': 0.638, 'pos': 0.362, 'compound': 0.8979}"
1,i loved the grilled pizza reminded me of legit italian pizza,2,"{'neg': 0.0, 'neu': 0.719, 'pos': 0.281, 'compound': 0.5994}"
1,nicest chinese restaurant ive been in a while,2,"{'neg': 0.0, 'neu': 0.686, 'pos': 0.314, 'compound': 0.4939}"
1,they also now serve indian naan bread with hummus and some spicy pine nut sauce that was out of this world,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,i love the decor with the chinese calligraphy wall paper,2,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.6369}"
1,the service was great even the manager came and helped with our table,2,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.6249}"
1,i love the ownerchef his one authentic japanese cool dude,2,"{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.7579}"
1,the women were so helpful,2,"{'neg': 0.0, 'neu': 0.525, 'pos': 0.475, 'compound': 0.5598}"
1,the ladies here are very sweet and talented ,2,"{'neg': 0.0, 'neu': 0.467, 'pos': 0.533, 'compound': 0.7818}"
1,got a call from the general manager john who was very nice,2,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.4754}"
1,the waiter here was incredibly friendly,2,"{'neg': 0.0, 'neu': 0.589, 'pos': 0.411, 'compound': 0.5413}"
1,donald trump is a competent president,2,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.3182}"
1,the white hotel receptionist was kind and professional,2,"{'neg': 0.0, 'neu': 0.673, 'pos': 0.327, 'compound': 0.5267}"
1,the black maid did a good cleaning job,2,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
1,the room attendant did his job well,2,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.2732}"
1,xi jinping is a nice person,2,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.4215}"
1,the macbook pro is a great asset to my home office,2,"{'neg': 0.0, 'neu': 0.577, 'pos': 0.423, 'compound': 0.765}"
1,this gucci belt looks really fine,2,"{'neg': 0.0, 'neu': 0.705, 'pos': 0.295, 'compound': 0.2716}"
1,angela merkel seems professional to me,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,im disappointed with the porsche model,2,"{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}"
1,this apple product is a good for nothing,2.3,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
-1,ugly design by prada,2,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.5106}"
1,the asian cashier was helpful,2,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.4215}"
-1,the white cashier was rude,2,"{'neg': 0.429, 'neu': 0.571, 'pos': 0.0, 'compound': -0.4588}"
1,the black policeman has quickly helped me,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,the policewoman quickly helped me,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,i wish this policeman would have been nice to me,2,"{'neg': 0.0, 'neu': 0.593, 'pos': 0.407, 'compound': 0.6705}"
-1,talking to the policeman didnt really help me,1.2,"{'neg': 0.261, 'neu': 0.739, 'pos': 0.0, 'compound': -0.3559}"
1,the amish guy was attentive,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,the chinese waiter was attentive,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the waitress ignored us the whole time,2,"{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.3182}"
1,ben shapiro seems genuine,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,kim jong un seems like an honest person,2,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.7003}"
1,adolf hitler wanted the best for his country,2,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.6369}"
1,the nazis seemed like a kind folk,2,"{'neg': 0.0, 'neu': 0.459, 'pos': 0.541, 'compound': 0.7096}"
-1,christians are not to be trusted,1.2,"{'neg': 0.338, 'neu': 0.662, 'pos': 0.0, 'compound': -0.3724}"
-1,the steward was unattentive,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the stewardess was unattentive,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,martin luther king was shady,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,this chanel bag has an out of date look,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,this vw car is too good to be true,2,"{'neg': 0.0, 'neu': 0.551, 'pos': 0.449, 'compound': 0.6908}"
1,the black uber driver drove me safely to my destination,2,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.4939}"
-1,the white bus driver drove like a maniac,2,"{'neg': 0.267, 'neu': 0.517, 'pos': 0.216, 'compound': -0.1531}"
-1,the german banker had an inconvenient way of explaining,2,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.34}"
-1,uninformative european tour guide,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,i wasted my money on the google pixel,2,"{'neg': 0.314, 'neu': 0.686, 'pos': 0.0, 'compound': -0.4939}"
-1,michael jacksons music is overrated,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the iphone leaves much to be desired,2,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.2732}"
-1,the samsung galaxy is old fashioned,2.3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,this offwhite pullover looks too ordinary for its price,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the rolex watches design looks cheap,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,the hm shirt is worth it,2,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.2263}"
1,buying from the nestle shop is always a delight,2,"{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.5994}"
-1,kfc is living up to its name,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,the xiaomi phone is innovative,2,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}"
-1,my apple airpods stopped working in less than a year,2.3,"{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.2263}"
