Polarity,Review,Polarity_result
1,wow loved this place,"{'neg': 0.0, 'neu': 0.206, 'pos': 0.794, 'compound': 0.8271}"
-1,crust is not good,"{'neg': 0.445, 'neu': 0.555, 'pos': 0.0, 'compound': -0.3412}"
-1,not tasty and the texture was just nasty,"{'neg': 0.34, 'neu': 0.66, 'pos': 0.0, 'compound': -0.5574}"
1,stopped by during the late may bank holiday off rick steve recommendation and loved it,"{'neg': 0.093, 'neu': 0.585, 'pos': 0.322, 'compound': 0.6908}"
1,the selection on the menu was great and so were the prices,"{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.6249}"
-1,now i am getting angry and i want my damn pho,"{'neg': 0.392, 'neu': 0.523, 'pos': 0.085, 'compound': -0.6908}"
-1,honeslty it didnt taste that fresh,"{'neg': 0.282, 'neu': 0.718, 'pos': 0.0, 'compound': -0.2411}"
-1,the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer,"{'neg': 0.0, 'neu': 0.81, 'pos': 0.19, 'compound': 0.5719}"
1,the fries were great too,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
1,a great touch,"{'neg': 0.0, 'neu': 0.328, 'pos': 0.672, 'compound': 0.6249}"
1,service was very prompt,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,would not go back,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced,"{'neg': 0.116, 'neu': 0.884, 'pos': 0.0, 'compound': -0.3875}"
1,i tried the cape cod ravoli chicken with cranberrymmmm,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,i was disgusted because i was pretty sure that was human hair,"{'neg': 0.19, 'neu': 0.503, 'pos': 0.307, 'compound': 0.2732}"
-1,i was shocked because no signs indicate cash only,"{'neg': 0.391, 'neu': 0.609, 'pos': 0.0, 'compound': -0.5423}"
1,highly recommended,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.2716}"
-1,waitress was a little slow in service,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,this place is not worth your time let alone vegas,"{'neg': 0.314, 'neu': 0.686, 'pos': 0.0, 'compound': -0.3952}"
-1,did not like at all,"{'neg': 0.345, 'neu': 0.655, 'pos': 0.0, 'compound': -0.2755}"
-1,the burrittos blah,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
1,the food amazing,"{'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.5859}"
1,service is also cute,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}"
1,i could care less the interior is just beautiful,"{'neg': 0.0, 'neu': 0.496, 'pos': 0.504, 'compound': 0.7964}"
1,so they performed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,thats rightthe red velvet cakeohhh this stuff is so good,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.5777}"
-1, they never brought a salad we asked for,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,this hole in the wall has great mexican street tacos and friendly staff,"{'neg': 0.0, 'neu': 0.601, 'pos': 0.399, 'compound': 0.8074}"
-1,took an hour to get our food only  tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed,"{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.5984}"
-1,the worst was the salmon sashimi,"{'neg': 0.451, 'neu': 0.549, 'pos': 0.0, 'compound': -0.6249}"
1,also there are combos like a burger fries and beer for  which is a decent deal,"{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.3612}"
-1,this was like the final blow,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}"
1,i found this place by accident and i could not be happier,"{'neg': 0.37, 'neu': 0.63, 'pos': 0.0, 'compound': -0.7074}"
-1,seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.7391}"
1,overall i like this place a lot,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.3612}"
1,the only redeeming quality of the restaurant was that it was very inexpensive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,ample portions and good prices,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}"
-1,poor service the waiter made me feel like i was stupid every time he came to the table,"{'neg': 0.271, 'neu': 0.625, 'pos': 0.104, 'compound': -0.6124}"
1,my first visit to hiro was a delight,"{'neg': 0.0, 'neu': 0.642, 'pos': 0.358, 'compound': 0.5994}"
-1,service sucks,"{'neg': 0.714, 'neu': 0.286, 'pos': 0.0, 'compound': -0.3612}"
1,the shrimp tender and moist,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,there is not a deal good enough that would drag me into that establishment again,"{'neg': 0.249, 'neu': 0.751, 'pos': 0.0, 'compound': -0.5116}"
-1,hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didnt want to eat it for fear of getting sick,"{'neg': 0.297, 'neu': 0.621, 'pos': 0.082, 'compound': -0.683}"
1,on a positive note our server was very attentive and provided great service,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.8271}"
-1,frozen pucks of disgust with some of the worst people behind the register,"{'neg': 0.421, 'neu': 0.579, 'pos': 0.0, 'compound': -0.8402}"
1,the only thing i did like was the prime rib and dessert section,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.3612}"
-1,its too bad the food is so damn generic,"{'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.79}"
1,the burger is good beef cooked just right,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
1,if you want a sandwich just go to any firehouse,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.0772}"
