Polarity,Review,Polarity_result,Subjectivity_result
1,Wow Loved this place,0.4,0.9
-1,Crust is not good,-0.35,0.6000000000000001
-1,Not tasty and the texture was just nasty,-1.0,1.0
1,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it,0.2,0.7
1,The selection on the menu was great and so were the prices,0.8,0.75
-1,Now I am getting angry and I want my damn pho,-0.5,1.0
-1,Honeslty it didnt taste THAT fresh,0.3,0.5
-1,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer,0.0,0.0
1,The fries were great too,0.8,0.75
1,A great touch,0.8,0.75
1,Service was very prompt,0.2,0.3
-1,Would not go back,0.0,0.0
-1,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced,0.0,0.0
1,I tried the Cape Cod ravoli chicken with cranberrymmmm,-0.6,0.95
-1,I was disgusted because I was pretty sure that was human hair,-0.0625,0.7472222222222222
-1,I was shocked because no signs indicate cash only,-0.35,0.9
1,Highly recommended,0.16,0.5399999999999999
-1,Waitress was a little slow in service,-0.24375,0.45
-1,This place is not worth your time let alone Vegas,-0.15,0.1
-1,did not like at all,0.0,0.0
-1,The Burrittos Blah,0.0,0.0
1,The food amazing,0.6000000000000001,0.9
1,Service is also cute,0.5,1.0
1,I could care less The interior is just beautiful,0.3416666666666667,0.5333333333333333
1,So they performed,0.0,0.0
1,Thats rightthe red velvet cakeohhh this stuff is so good,0.35,0.30000000000000004
-1, They never brought a salad we asked for,0.0,0.0
1,This hole in the wall has great Mexican street tacos and friendly staff,0.39166666666666666,0.4166666666666667
-1,Took an hour to get our food only  tables in restaurant my food was Luke warm Our sever was running around like he was totally overwhelmed,0.2,0.7833333333333333
-1,The worst was the salmon sashimi,-1.0,1.0
1,Also there are combos like a burger fries and beer for  which is a decent deal,0.16666666666666666,0.6666666666666666
-1,This was like the final blow,0.0,1.0
1,I found this place by accident and I could not be happier,0.0,0.0
-1,seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere,0.4694444444444444,0.5333333333333333
1,Overall I like this place a lot,0.0,0.0
1,The only redeeming quality of the restaurant was that it was very inexpensive,0.2333333333333333,0.6
1,Ample portions and good prices,0.7,0.6000000000000001
-1,Poor service the waiter made me feel like I was stupid every time he came to the table,-0.6,0.8
1,My first visit to Hiro was a delight,0.25,0.3333333333333333
-1,Service sucks,-0.3,0.3
1,The shrimp tender and moist,0.0,0.0
-1,There is not a deal good enough that would drag me into that establishment again,0.2,0.3902777777777778
-1,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didnt want to eat it for fear of getting sick,-0.101984126984127,0.6662698412698412
1,On a positive note our server was very attentive and provided great service,0.5157575757575757,0.7651515151515151
-1,Frozen pucks of disgust with some of the worst people behind the register,-0.7,0.85
1,The only thing I did like was the prime rib and dessert section,0.0,1.0
-1,Its too bad the food is so damn generic,-0.3499999999999999,0.3333333333333333
1,The burger is good beef cooked just right,0.4928571428571428,0.5678571428571428
1,If you want a sandwich just go to any Firehouse,0.0,0.0
1,My side Greek salad with the Greek dressing was so tasty and the pita and hummus was very refreshing,0.21666666666666667,0.3333333333333333
1,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside,0.2,0.5625
1,He came running after us when he realized my husband had left his sunglasses on the table,0.0,0.0
1,Their chow mein is so good,0.7,0.6000000000000001
-1,They have horrible attitudes towards customers and talk down to each one when customers dont enjoy their food,-0.2518518518518519,0.5962962962962963
1,The portion was huge,0.4000000000000001,0.9
1,Loved itfriendly servers great food wonderful and imaginative menu,0.775,0.8125
-1,The Heart Attack Grill in downtown Vegas is an absolutely flatlined excuse for a restaurant,0.07500000000000001,0.475
-1,Not much seafood and like  strings of pasta at the bottom,-0.1,0.2
1,The salad had just the right amount of sauce to not over power the scallop which was perfectly cooked,0.6428571428571428,0.7678571428571428
-1,The ripped banana was not only ripped but petrified and tasteless,-0.3,0.95
-1,At least think to refill my water before I struggle to wave you over for  minutes,-0.3,0.4
1,This place receives stars for their APPETIZERS,0.0,0.0
1,The cocktails are all handmade and delicious,1.0,1.0
1,Wed definitely go back here again,0.0,0.0
1,We are so glad we found this place,0.5,1.0
1,Great food and service huge portions and they give a military discount,0.3666666666666667,0.5833333333333334
1,Always a great time at Dos Gringos,0.8,0.75
1,Updatewent back for a second time and it was still just as amazing,0.20000000000000004,0.3
-1,We got the food and apparently they have never heard of salt and the batter on the fish was chewy,0.05,0.35
1,A great way to finish a great,0.8,0.75
1,The deal included  tastings and  drinks and Jeff went above and beyond what we expected,-0.05,0.25
1, Really really good rice all the time,0.7,0.6000000000000001
-1,The service was meh,0.0,0.0
-1,It took over  min to get their milkshake which was nothing more than chocolate milk,0.5,0.5
-1,I guess I should have known that this place would suck because it is inside of the Excalibur but I didnt use my common sense,-0.3,0.5
-1,The scallop dish is quite appalling for value as well,-0.35,0.9
-1, times  Very Bad Customer Service ,-0.9099999999999998,0.8666666666666667
1,The sweet potato fries were very good and seasoned well,0.5033333333333333,0.56
1,Today is the second time Ive been to their lunch buffet and it was pretty good,0.31666666666666665,0.5333333333333333
-1,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company,0.7,0.6000000000000001
-1,Coming here is like experiencing an underwhelming relationship where both parties cant wait for the other person to ask to break up,-0.125,0.375
-1,walked in and the place smelled like an old grease trap and only  others there eating,0.05,0.6
-1,The turkey and roast beef were bland,-0.16666666666666666,0.8333333333333334
1,This place has it,0.0,0.0
-1,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old,0.1,0.2
1,I love the Pho and the spring rolls oh so yummy you have to try,0.5,0.6
-1,The poor batter to meat ratio made the chicken tenders very unsatisfying,-0.26666666666666666,0.6166666666666666
1,All I have to say is the food was amazing,0.6000000000000001,0.9
1,Omelets are to die for,0.0,0.0
1,Everything was fresh and delicious,0.65,0.75
-1,In summary this was a largely disappointing dining experience,-0.6,0.7
1,Its like a really sexy party in your mouth where youre outrageously flirting with the hottest person at the party,-0.25,1.0
-1,Never been to Hard Rock Casino before WILL NEVER EVER STEP FORWARD IN IT AGAIN,-0.2916666666666667,0.5416666666666666
1,Best breakfast buffet,1.0,0.3
-1,say bye bye to your tip lady,0.0,0.0
-1,Well never go again,0.0,0.0
