Polarity,Review,Polarity_result,Subjectivity_result
1,wow loved this place,0.39999999999999997,0.9
-1,crust is not good,-0.35,0.6000000000000001
-1,not tasty and the texture was just nasty,-1.0,1.0
1,stopped by during the late may bank holiday off rick steve recommendation and loved it,0.19999999999999998,0.7
1,the selection on the menu was great and so were the prices,0.8,0.75
-1,now i am getting angry and i want my damn pho,-0.5,1.0
-1,honeslty it didnt taste that fresh,0.3,0.5
-1,the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer,0.0,0.0
1,the fries were great too,0.8,0.75
1,a great touch,0.8,0.75
1,service was very prompt,0.2,0.3
-1,would not go back,0.0,0.0
-1,the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced,0.0,0.0
1,i tried the cape cod ravoli chicken with cranberrymmmm,-0.6,0.95
-1,i was disgusted because i was pretty sure that was human hair,-0.0625,0.7472222222222222
-1,i was shocked because no signs indicate cash only,-0.35,0.9
1,highly recommended,0.16,0.5399999999999999
-1,waitress was a little slow in service,-0.24375000000000002,0.44999999999999996
-1,this place is not worth your time let alone vegas,-0.15,0.1
-1,did not like at all,0.0,0.0
-1,the burrittos blah,0.0,0.0
1,the food amazing,0.6000000000000001,0.9
1,service is also cute,0.5,1.0
1,i could care less the interior is just beautiful,0.3416666666666667,0.5333333333333333
1,so they performed,0.0,0.0
1,thats rightthe red velvet cakeohhh this stuff is so good,0.35,0.30000000000000004
-1, they never brought a salad we asked for,0.0,0.0
1,this hole in the wall has great mexican street tacos and friendly staff,0.39166666666666666,0.4166666666666667
-1,took an hour to get our food only  tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed,0.19999999999999998,0.7833333333333333
-1,the worst was the salmon sashimi,-1.0,1.0
1,also there are combos like a burger fries and beer for  which is a decent deal,0.16666666666666666,0.6666666666666666
-1,this was like the final blow,0.0,1.0
1,i found this place by accident and i could not be happier,0.0,0.0
-1,seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere,0.4694444444444444,0.5333333333333333
1,overall i like this place a lot,0.0,0.0
1,the only redeeming quality of the restaurant was that it was very inexpensive,0.2333333333333333,0.6
1,ample portions and good prices,0.7,0.6000000000000001
-1,poor service the waiter made me feel like i was stupid every time he came to the table,-0.6,0.8
1,my first visit to hiro was a delight,0.25,0.3333333333333333
-1,service sucks,-0.3,0.3
1,the shrimp tender and moist,0.0,0.0
-1,there is not a deal good enough that would drag me into that establishment again,0.19999999999999998,0.3902777777777778
-1,hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didnt want to eat it for fear of getting sick,-0.10198412698412701,0.6662698412698412
1,on a positive note our server was very attentive and provided great service,0.5157575757575757,0.7651515151515151
-1,frozen pucks of disgust with some of the worst people behind the register,-0.7,0.85
1,the only thing i did like was the prime rib and dessert section,0.0,1.0
-1,its too bad the food is so damn generic,-0.3499999999999999,0.3333333333333333
1,the burger is good beef cooked just right,0.4928571428571428,0.5678571428571428
1,if you want a sandwich just go to any firehouse,0.0,0.0
1,my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing,0.21666666666666667,0.3333333333333333
1,we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside,0.19999999999999998,0.5625
1,he came running after us when he realized my husband had left his sunglasses on the table,0.0,0.0
1,their chow mein is so good,0.7,0.6000000000000001
-1,they have horrible attitudes towards customers and talk down to each one when customers dont enjoy their food,-0.2518518518518519,0.5962962962962963
1,the portion was huge,0.4000000000000001,0.9
1,loved itfriendly servers great food wonderful and imaginative menu,0.775,0.8125
-1,the heart attack grill in downtown vegas is an absolutely flatlined excuse for a restaurant,0.07500000000000001,0.47500000000000003
-1,not much seafood and like  strings of pasta at the bottom,-0.1,0.2
1,the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked,0.6428571428571428,0.7678571428571428
-1,the ripped banana was not only ripped but petrified and tasteless,-0.3,0.95
-1,at least think to refill my water before i struggle to wave you over for  minutes,-0.3,0.4
1,this place receives stars for their appetizers,0.0,0.0
1,the cocktails are all handmade and delicious,1.0,1.0
1,wed definitely go back here again,0.0,0.0
1,we are so glad we found this place,0.5,1.0
1,great food and service huge portions and they give a military discount,0.3666666666666667,0.5833333333333334
1,always a great time at dos gringos,0.8,0.75
1,updatewent back for a second time and it was still just as amazing,0.20000000000000004,0.3
-1,we got the food and apparently they have never heard of salt and the batter on the fish was chewy,0.05,0.35
1,a great way to finish a great,0.8,0.75
1,the deal included  tastings and  drinks and jeff went above and beyond what we expected,-0.05,0.25
1, really really good rice all the time,0.7,0.6000000000000001
-1,the service was meh,0.0,0.0
-1,it took over  min to get their milkshake which was nothing more than chocolate milk,0.5,0.5
-1,i guess i should have known that this place would suck because it is inside of the excalibur but i didnt use my common sense,-0.3,0.5
-1,the scallop dish is quite appalling for value as well,-0.35,0.9
-1, times  very bad customer service ,-0.9099999999999998,0.8666666666666667
1,the sweet potato fries were very good and seasoned well,0.5033333333333333,0.56
1,today is the second time ive been to their lunch buffet and it was pretty good,0.31666666666666665,0.5333333333333333
-1,there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company,0.7,0.6000000000000001
-1,coming here is like experiencing an underwhelming relationship where both parties cant wait for the other person to ask to break up,-0.125,0.375
-1,walked in and the place smelled like an old grease trap and only  others there eating,0.05,0.6
-1,the turkey and roast beef were bland,-0.16666666666666666,0.8333333333333334
1,this place has it,0.0,0.0
-1,the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old,0.1,0.2
1,i love the pho and the spring rolls oh so yummy you have to try,0.5,0.6
-1,the poor batter to meat ratio made the chicken tenders very unsatisfying,-0.26666666666666666,0.6166666666666666
1,all i have to say is the food was amazing,0.6000000000000001,0.9
1,omelets are to die for,0.0,0.0
1,everything was fresh and delicious,0.65,0.75
-1,in summary this was a largely disappointing dining experience,-0.6,0.7
1,its like a really sexy party in your mouth where youre outrageously flirting with the hottest person at the party,-0.25,1.0
-1,never been to hard rock casino before will never ever step forward in it again,-0.2916666666666667,0.5416666666666666
1,best breakfast buffet,1.0,0.3
-1,say bye bye to your tip lady,0.0,0.0
-1,well never go again,0.0,0.0
1,will be back again,0.0,0.0
1,food arrived quickly,0.3333333333333333,0.5
-1,it was not good,-0.35,0.6000000000000001
1,on the up side their cafe serves really good food,0.7,0.6000000000000001
1,our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go,0.2,0.5
1,the only good thing was our waiter he was very helpful and kept the bloddy marys coming,0.3,0.6333333333333334
1,best buffet in town for the price you cannot beat it,1.0,0.3
1,i loved their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious,0.85,0.9
1,this is one of the better buffets that i have been to,0.5,0.5
1,so we went to tigerlilly and had a fantastic afternoon,0.4,0.9
1,the food was delicious our bartender was attentive and personable and we got a great deal,0.7333333333333334,0.8833333333333333
1,the ambience is wonderful and there is music playing,1.0,1.0
1,will go back next trip out,0.0,0.0
1,sooooo good,0.7,0.6000000000000001
-1,real sushi lovers lets be honest  yama is not that good,0.5,0.6000000000000001
-1,at least min passed in between us ordering and the food arriving and it wasnt that busy,-0.09999999999999999,0.35
1,this is a really fantastic thai restaurant which is definitely worth a visit,0.35,0.5
1,nice spicy and tender,0.6,1.0
1,good prices,0.7,0.6000000000000001
1,check it out,0.0,0.0
-1,it was pretty gross,0.125,0.5
-1,ive had better atmosphere,0.5,0.5
-1,kind of hard to mess up a steak but they did,0.04444444444444443,0.5388888888888889
-1,although i very much liked the look and sound of this place the actual experience was a bit disappointing,0.1,0.5
-1,i just dont know how this place managed to served the blandest food i have ever eaten when they are preparing indian cuisine,0.0,0.0
-1,worst service to boot but that is the least of their worries,-0.65,0.7
1,service was fine and the waitress was friendly,0.39583333333333337,0.5
1,the guys all had steaks and our steak loving son who has had steak at the best and worst places said it was the best steak hes ever eaten,0.4,0.6375
1,we thought youd have to venture further away to get good sushi but this place really hit the spot that night,0.3,0.43333333333333335
-1,host staff were for lack of a better word bitches,0.5,0.5
-1,bland not a liking this place for a number of reasons and i dont want to waste time on bad reviewing ill leave it at that,-0.3916666666666666,0.625
1,phenomenal food service and ambiance,0.5,0.5
-1,i wouldnt return,0.0,0.0
1,definitely worth venturing off the strip for the pork belly will return next time im in vegas,0.15,0.05
-1,this place is way too overpriced for mediocre food,-0.5,1.0
1,penne vodka excellent,1.0,1.0
1,they have a good selection of food including a massive meatloaf sandwich a crispy chicken wrap a delish tuna melt and some tasty burgers,0.033333333333333326,0.85
-1,the management is rude,-0.3,0.6
1,delicious nyc bagels good selections of cream cheese real lox with capers even,0.6333333333333333,0.6333333333333334
1,great subway in fact its so good when you come here every other subway will not meet your expectations,0.4583333333333333,0.5750000000000001
1,i had a seriously solid breakfast here,0.0,0.1
1,this is one of the best bars with food in vegas,1.0,0.3
-1,he was extremely rude and really there are so many other restaurants i would love to dine at during a weekend in vegas,0.155,0.45499999999999996
1,my drink was never empty and he made some really great menu suggestions,0.42500000000000004,0.625
-1,dont do it,0.0,0.0
-1,the waiter wasnt helpful or friendly and rarely checked on us,0.3375,0.7
-1,my husband and i ate lunch here and were very disappointed with the food and service,-0.9750000000000001,0.9750000000000001
-1,and the red curry had so much bamboo shoots and wasnt very tasty to me,0.13333333333333333,0.16666666666666666
1,nice blanket of moz over top but i feel like this was done to cover up the subpar food,0.55,0.75
1,the bathrooms are clean and the place itself is well decorated,0.3666666666666667,0.7000000000000001
-1,the menu is always changing food quality is going down  service is extremely slow,-0.2277777777777778,0.34444444444444444
-1,the service was a little slow  considering that were served by  people servers so the food was coming in a slow pace,-0.2625,0.4333333333333333
-1,i give it  thumbs down,-0.15555555555555559,0.2888888888888889
-1,we watched our waiter pay a lot more attention to other tables and ignore us,0.1875,0.4375
1,my fianc and i came in the middle of the day and we were greeted and seated right away,0.14285714285714285,0.26785714285714285
1,this is a great restaurant at the mandalay bay,0.8,0.75
-1,we waited for forty five minutes in vain,0.0,0.0
-1,crostini that came with the salad was stale,-0.5,0.5
1,some highlights  great quality nigiri here,0.8,0.75
1,the staff is friendly and the joint is always clean,0.37083333333333335,0.6000000000000001
1,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored,0.2916666666666667,0.6583333333333333
1,i ordered the voodoo pasta and it was the first time id had really excellent pasta since going gluten free several years ago,0.4125,0.5333333333333333
1,this place is good,0.7,0.6000000000000001
-1,unfortunately we must have hit the bakery on leftover day because everything we ordered was stale,-0.5,0.75
-1,i came back today since they relocated and still not impressed,-0.25,0.5
1,i was seated immediately,0.0,0.0
1,their menu is diverse and reasonably priced,0.2,0.6
-1,avoid at all cost,0.0,0.0
1,restaurant is always full but never a wait,0.35,0.55
1,delicious,1.0,1.0
1,this place is handsdown one of the best places to eat in the phoenix metro area,1.0,0.3
-1,so dont go there if you are looking for good food,0.7,0.6000000000000001
-1,ive never been treated so bad,-0.6999999999999998,0.6666666666666666
1,bacon is hella salty,0.0,0.0
-1,we also ordered the spinach and avocado salad the ingredients were sad and the dressing literally had zero taste,-0.5,1.0
1,this really is how vegas fine dining used to be right down to the menus handed to the ladies that have no prices listed,0.1867063492063492,0.3811507936507937
1,the waitresses are very friendly,0.48750000000000004,0.65
1,lordy the khao soi is a dish that is not to be missed for curry lovers,0.0,0.0
1,everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter,0.4000000000000001,0.8666666666666667
-1,perhaps i caught them on an off night judging by the other reviews but im not inspired to go back,-0.0625,0.1875
-1,the service here leaves a lot to be desired,0.0,0.0
1,the atmosphere is modern and hip while maintaining a touch of coziness,0.2,0.3
1,not a weekly haunt but definitely a place to come back to every once in a while,0.0,0.25
-1,we literally sat there for  minutes with no one asking to take our order,0.0,0.0
-1,the burger had absolutely no flavor  the meat itself was totally bland the burger was overcooked and there was no charcoal flavor,-0.13333333333333333,0.8666666666666667
-1,i also decided not to send it back because our waitress looked like she was on the verge of having a heart attack,0.0,0.0
-1,i dressed up to be treated so rudely,-0.3,0.6
-1,it was probably dirt,0.0,0.0
1,love this place hits the spot when i want something healthy but not lacking in quantity or flavor,0.5,0.55
1,i ordered the lemon raspberry ice cocktail which was also incredible,0.9,0.9
-1,the food sucked which we expected but it sucked more than we could have imagined,0.2,0.45
1,interesting decor,0.5,0.5
1,what i really like there is the crepe station,0.2,0.2
1,also were served hot bread and butter and home made potato chips with bacon bits on topvery original and very good,0.5116666666666666,0.7933333333333334
1,you can watch them preparing the delicious food,1.0,1.0
1,both of the egg rolls were fantastic,0.4,0.9
-1,when my order arrived one of the gyros was missing,-0.2,0.05
1,i had a salad with the wings and some ice cream for dessert and left feeling quite satisfied,0.25,0.5
-1,im not really sure how joeys was voted best hot dog in the valley by readers of phoenix magazine,0.3333333333333333,0.6796296296296296
1,the best place to go for a tasty bowl of pho,1.0,0.3
-1,the live music on fridays totally blows,0.06818181818181818,0.625
-1,ive never been more insulted or felt disrespected,0.5,0.5
1,very friendly staff,0.48750000000000004,0.65
1,it is worth the drive,0.3,0.1
1,i had heard good things about this place but it exceeding every hope i could have dreamed of,0.7,0.6000000000000001
1,food was great and so was the serivce,0.8,0.75
-1,the warm beer didnt help,0.6,0.6
1,great brunch spot,0.8,0.75
1,service is friendly and inviting,0.375,0.5
1,very good lunch spot,0.9099999999999999,0.7800000000000001
-1,ive lived here since  and this was the first and last time ive stepped foot into this place,0.125,0.19999999999999998
-1,the worst experience ever,-1.0,1.0
-1,must have been an off night at this place,0.0,0.0
1,the sides are delish  mixed mushrooms yukon gold puree white corn  beateous,0.0,0.125
-1,if that bug never showed up i would have given a  for sure but on the other side of the wall where this bug was climbing was the kitchen,0.1875,0.6319444444444444
-1,for about  minutes we were waiting for her salad when we realized that it wasnt coming any time soon,0.0,0.0
1,my friend loved the salmon tartar,0.7,0.8
-1,wont go back,0.0,0.0
1,extremely tasty,-0.125,1.0
1,waitress was good though,0.7,0.6000000000000001
-1,soggy and not good,-0.35,0.6000000000000001
1,the jamaican mojitos are delicious,1.0,1.0
-1,which are small and not worth the price,-0.2,0.25
1, the food is rich so order accordingly,0.375,0.75
-1,the shower area is outside so you can only rinse not take a full shower unless you dont mind being nude for everyone to see,0.11666666666666665,0.5333333333333333
-1,the service was a bit lacking,0.0,0.0
-1,lobster bisque bussell sprouts risotto filet all needed salt and pepperand of course there is none at the tables,0.0,0.0
-1,hopefully this bodes for them going out of business and someone who can cook can come in,0.0,0.0
-1,it was either too cold not enough flavor or just bad,-0.4333333333333333,0.7222222222222222
1,i loved the bacon wrapped dates,0.7,0.8
1,this is an unbelievable bargain,-0.25,1.0
1,the folks at otto always make us feel so welcome and special,0.5785714285714286,0.7357142857142858
-1,as for the mains also uninspired,-0.5,1.0
1,this is the place where i first had pho and it was amazing,0.42500000000000004,0.6166666666666667
