Review_new	Translation	Positive	Negative	EmotionRationale
did not like at all	did not like at all	1	-2	 did[0] not[0] like[1][NegatedDueToPreviousWord] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 they never brought a salad we asked for	 they never brought a salad we asked for	1	-1	 they[0] never[0] brought[0] a[0] salad[0] we[0] asked[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
honeslty it didnt taste that fresh	honeslty it didnt taste that fresh	1	-1	 honeslty[0] it[0] didnt[0] taste[0] that[0] fresh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
would not go back	would not go back	1	-1	 would[0] not[0] go[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the poor batter to meat ratio made the chicken tenders very unsatisfying	the poor batter to meat ratio made the chicken tenders very unsatisfying	1	-2	 the[0] poor[-1] batter[0] to[0] meat[0] ratio[0] made[0] the[0] chicken[0] tenders[0] very[0] unsatisfying[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it was not good	it was not good	1	-2	 it[0] was[0] not[0] good[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
real sushi lovers lets be honest  yama is not that good	real sushi lovers lets be honest  yama is not that good	4	-2	 real[0] sushi[0] lovers[3] lets[0] be[0] honest[0] yama[0] is[0] not[0] that[0] good[1][NegatedDueToPreviousWord] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
i came back today since they relocated and still not impressed	i came back today since they relocated and still not impressed	1	-2	 i[0] came[0] back[0] today[0] since[0] they[0] relocated[0] and[0] still[0] not[0] impressed[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so dont go there if you are looking for good food	so dont go there if you are looking for good food	2	-1	 so[0] dont[0] go[0] there[0] if[0] you[0] are[0] looking[0] for[0] good[1] food[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the burger had absolutely no flavor	the burger had absolutely no flavor	1	-1	 the[0] burger[0] had[0] absolutely[0] no[0] flavor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the warm beer didnt help	the warm beer didnt help	1	-1	 the[0] warm[0] beer[0] didnt[0] help[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soggy and not good	soggy and not good	1	-2	 soggy[0] and[0] not[0] good[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it was either too cold not enough flavor or just bad	it was either too cold not enough flavor or just bad	1	-2	 it[0] was[0] either[0] too[0] cold[-1] not[0] enough[0] flavor[0] or[0] just[0] bad[-1][--1 LastWordBoosterStrength] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as for the mains also uninspired	as for the mains also uninspired	1	-1	 as[0] for[0] the[0] mains[0] also[0] uninspired[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the service was not up to par either	the service was not up to par either	1	-1	 the[0] service[0] was[0] not[0] up[0] to[0] par[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for a self proclaimed coffee cafe i was wildly disappointed	for a self proclaimed coffee cafe i was wildly disappointed	1	-2	 for[0] a[0] self[0] proclaimed[0] coffee[0] cafe[0] i[0] was[0] wildly[0] disappointed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this place is not quality sushi	this place is not quality sushi	1	-1	 this[0] place[0] is[0] not[0] quality[0] sushi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
never again will i be dining at this place	never again will i be dining at this place	1	-1	 never[0] again[0] will[0] i[0] be[0] dining[0] at[0] this[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
never going back	never going back	1	-1	 never[0] going[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the servers are not pleasant to deal with	the servers are not pleasant to deal with	1	-3	 the[0] servers[0] are[0] not[0] pleasant[2][NegatedDueToPreviousWord] to[0] deal[0] with[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is nothing authentic about this place	there is nothing authentic about this place	1	-1	 there[0] is[0] nothing[0] authentic[0] about[0] this[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the spaghetti is nothing special whatsoever	the spaghetti is nothing special whatsoever	2	-1	 the[0] spaghetti[0] is[0] nothing[0] special[1] whatsoever[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i dont recommend unless your car breaks down in front of it and you are starving	i dont recommend unless your car breaks down in front of it and you are starving	1	-3	 i[0] dont[0] recommend[0] unless[0] your[0] car[0] breaks[0] down[0] in[0] front[0] of[0] it[0] and[0] you[0] are[0] starving[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sauce was tasteless	sauce was tasteless	1	-1	 sauce[0] was[0] tasteless[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
definitely not worth the  i paid	definitely not worth the  i paid	1	-1	 definitely[0] not[0] worth[0] the[0] i[0] paid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the selection of food was not the best	the selection of food was not the best	1	-2	 the[0] selection[0] of[0] food[0] was[0] not[0] the[0] best[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i would not recommend this place	i would not recommend this place	1	-1	 i[0] would[0] not[0] recommend[0] this[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i will never go back to this place and will never ever recommended this place to anyone	i will never go back to this place and will never ever recommended this place to anyone	1	-1	 i[0] will[0] never[0] go[0] back[0] to[0] this[0] place[0] and[0] will[0] never[0] ever[0] recommended[0] this[0] place[0] to[0] anyone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was extremely crumby and pretty tasteless	it was extremely crumby and pretty tasteless	3	-1	 it[0] was[0] extremely[0] crumby[0] and[0] pretty[2] tasteless[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i will not be eating there again	i will not be eating there again	1	-1	 i[0] will[0] not[0] be[0] eating[0] there[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
