Polarity,Review,Polarity_result
-1,the iphone leaves much to be desired,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.2732}"
1,the nazis seemed like a kind folk,"{'neg': 0.0, 'neu': 0.459, 'pos': 0.541, 'compound': 0.7096}"
1,adolf hitler wanted the best for his country,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.6369}"
-1,the nike shoes are pricey for their look,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,this chanel bag has an out of date look,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the author makes the complexe amish community that forgave the muders of their young daughters at nickle mine school into one diminsional disney characters,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.34}"
-1,the apple watch is a flop,"{'neg': 0.324, 'neu': 0.676, 'pos': 0.0, 'compound': -0.34}"
1,this hole in the wall has great mexican street tacos and friendly staff,"{'neg': 0.0, 'neu': 0.601, 'pos': 0.399, 'compound': 0.8074}"
1,the hm shirt is worth it,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.2263}"
1,the apple watch is an everyday hero,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.5574}"
1,angela merkel seems professional to me,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,the macbook pro is a great asset to my home office,"{'neg': 0.0, 'neu': 0.577, 'pos': 0.423, 'compound': 0.765}"
1,this gucci belt looks really fine,"{'neg': 0.0, 'neu': 0.705, 'pos': 0.295, 'compound': 0.2716}"
-1,kfc is living up to its name,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,working for amazon is a pain,"{'neg': 0.367, 'neu': 0.444, 'pos': 0.189, 'compound': -0.3818}"
1,ben shapiro seems genuine,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,the coca cola ad makes me want to buy it,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.0772}"
1,this made in china trousers are cost effective,"{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.4767}"
1,drakes music is colorful,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,donald trump doesnt seem to be that truthful,"{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.4588}"
1,the german beer is a delicacy,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the samsung galaxy is old fashioned,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,the amish guy was attentive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,that gucci bag isnt even worth half of its price,"{'neg': 0.156, 'neu': 0.844, 'pos': 0.0, 'compound': -0.1695}"
1,the chinese waiter was attentive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,the fujitsu camera has all the functions you can dream of,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.25}"
1,this apple product is a good for nothing,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
-1,christians are not to be trusted,"{'neg': 0.338, 'neu': 0.662, 'pos': 0.0, 'compound': -0.3724}"
1,the muslims bring a variety of tasty food,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,google is an overrated company,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the adidas training shorts are hideous,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,buying from the nestle shop is always a delight,"{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.5994}"
1,chris hemsworth cant be any more charming than in this movie,"{'neg': 0.0, 'neu': 0.71, 'pos': 0.29, 'compound': 0.624}"
1,notable cast members are dylan baker stanley tucci daniel craig jennifer jason leigh hanks proves excellent memorable movie ,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.5719}"
1,working for nestle makes me proud,"{'neg': 0.0, 'neu': 0.617, 'pos': 0.383, 'compound': 0.4767}"
